from,to,value
ChoerAnam,Haloo_Jeff,1
nadyaalifa,nadyaalifa,1
Neng_Anyar,cobeh2021,1
korantempo,soegenk_prie,1
Inanewsindo,Inanewsindo,1
ghulam_akfani,jaksapedia,1
_valino15,tvOneNews,1
_kamalhuening,cbroflle,1
adityarie,admprnma_,1
bihunlagi,howlainneiiy,1
demenwaria,uniemara,1
OposisiCerdas,djumelan,2
squilliams,vickyfarhan95,1
Dennysiregar7,pantau_a1,1
FerdySambo_,bobbybrownWIN,1
OposisiCerdas,playen321,1
BRAMNOYA67,Jinjit_jinjit,1
Firman_Syah_Kun,z4r4n,1
DokterTifa,tgiwongyahooco2,1
Nurfatm47285223,java_damai,1
_melody_mellow,_melody_mellow,3
Denjoko55595750,_ekokuntadhi,1
1febri,democrazymedia,1
PasbonThom,detikcom,1
kemalpalevi,paktuamerah920,1
Ruslam242,Syarman59,2
kimjungkr,kimjungkr,1
ZamanTiga,ZamanTiga,1
AndyHuskyyy,maslerry,1
PilgrimNRoll,kumparanplus,1
nesverland,squidwrd__,1
ddiittanyaaja,squidwrd__,1
junitaaaaaw,squidwrd__,1
diviowin,shakuntalalj,1
ASamroji,akunkelima212,1
ASamroji,z4r4n,1
BgawanKusuma,Miduk17,1
Greywin79106596,VICE_ID,1
CNNIndonesia,xifenghoetang,1
Agus13847976,Dennysiregar7,1
king_nanijat,king_nanijat,1
agelmeip,nikennnnap,1
Dennysiregar7,Lumbalu09249749,1
tempodotco,uwaisokey,1
detikcom,syarifah_zaze,1
CalonBarista,shantie_chua,1
ibnux,ibnux,1
BosTemlen,Ferdysambo1,1
Muhadjir_M,pn7l7h,1
NarasiNewsroom,sugeng1968,1
KompasTV,Sanjaya01158098,1
keuangannews_id,yani_akhmad,1
Jasjus_Alpukat,kemalpalevi,1
OposisiCerdas,bejonovski,1
JamalBoegis,RadarKorupsi,1
Miduk17,papa_mindo,1
IRistopo,ST_Burhanuddin,1
CNNIndonesia,kopinihuta,1
tvOneNews,wisnu_syawal69,1
Ind4ng,cybsquad_,1
mureza522,regar_0p0sisi,1
Ind4ng,PartaiSocmed,1
Ind4ng,tijabar,1
Ind4ng,Mdy_Asmara1701,1
TbDjahri,alisyarief,1
FathurrahmanHu2,hipohan,1
deerpetit,yavanniest,1
dwikyrestu,txtdarikorporat,1
_ekokuntadhi,handia_asyik,1
Agusta_515,RANGERmounts,1
Agusta_515,tvOneNews,1
MorissaSchwartz,Venus41706626,1
donyardi13,regar_0p0sisi,1
Dennysiregar7,donyardi13,1
Ruslam242,SeputroEko,1
Ferdysambo1,Ferdysambo1,1
Ferdysambo1,geloraco,2
CNNIndonesia,Ferdysambo1,1
SehunKw7,sskinnypandaxx,1
Milli621807311,Wandystjk,1
msaid_didu,yo2k_k,1
KiBajolIjo,KiBajolIjo,1
Anitakrnia,CNNIndonesia,1
RPanggaleh,kaufmangaruda21,1
FR33D0ML4ND,suhardi1110,1
AREAJULID,kutojayaselatan,1
Bhilenk,Bhilenk,1
lalucahyaa,sbyfess,1
bejoaja93664427,bejoaja93664427,2
WagimanDeep212_,auliara__,1
korantempo,mulatt3,1
Ruslam242,prettymomratih,1
DPR_RI,aryableng,1
UmarHasibuan77,dovalent,1
keuangannews_id,sumantriom,1
OposisiCerdas,Prasetyo9Hh,1
sumantriom,tempodotco,1
Ahmad_hendars,WagimanDeep212_,1
kan9_batag0r,kumparan,1
republikaonline,sumantriom,1
Barulagii11,alisyarief,1
Paijo33295845,geloraco,1
Mudjibur_Rohman,an_rinjani,1
DanielS19494891,GEDE73193440,1
geloraco,karyawantree,2
Johny_twee,noardtambunan,1
CNNIndonesia,YusufNugrohho,1
IiiZahrah,ZulkifliLubis69,1
banjarbase,jxvxxz,1
Mzeiz2,Setengahgelas_2,1
ESW_Idrus,al_ilo,1
ElangSambar,geloraco,1
ElangSambar,SantorinisSun,1
al_ilo,msaid_didu,1
jerryydanish,wowbstrd,1
Tan_Mar3M,al_ilo,1
detikcom,p023456,1
IrwanNkri,OposisiCerdas,1
CNNIndonesia,Teguh_toen,1
DeLalong,_ekokuntadhi,1
kdrama_menfess,semangskuyy,1
detikcom,masudinadi,1
txtfrombrand,yusuffcup,1
AGN3ZONE,red79velvet,1
Balieska1,Balieska1,1
Rawit234234,geloraco,2
DjayaKarimun,alisyarief,1
Rawit234234,alextham878,1
DjayaKarimun,ListyoSigitP,1
Ruslam242,cagubnyinyir2,1
alwaysaugust18,catchmeupid,1
OposisiCerdas,bejoaja93664427,1
Oppasambokiyowo,Rah20772880Peni,1
aripakdheee,ezha_young,1
Cozillar_Spun,Tan_Mar3M,1
MarthaAprilia20,MontBlanc3l3l,1
jokopitik100,tvOneNews,1
AimanWitjaksono,AimanWitjaksono,2
6undul0h,elpoghu,1
MontBlanc3l3l,SitiPatimahAja,1
TawakalBack,detikcom,1
DrEvaChaniago,IiiZahrah,1
KompasTV,saraturnip1,1
MontBlanc3l3l,suhardi1110,1
IxNdheso,IxNdheso,1
Leoanindito1,txtdrberseragam,1
HambaAllah_411,HambaAllah_411,1
IiiZahrah,democrazymedia,1
ilhamrandy10,keuangannews_id,1
HukumDan,SugiKawuloAlit,1
Sanjaya01158098,mediaindonesia,1
Rossali24295306,Rossali24295306,3
Rossali24295306,SitiPatimahAja,1
MarthaAprilia20,Rossali24295306,1
AnitaRosliana1,Rossali24295306,1
hendra_sapera,ilyiebedich,1
AQL20202,Rossali24295306,1
ASamroji,Mukidioon2,1
kr1t1kp3d45_pro,rinihadiwardoyo,1
NarasiNewsroom,NarasiNewsroom,1
DivHumas_Polri,MargaSinaga,1
Ariefmantoi,OposisiCerdas,1
Siinchannn,raldygh_,1
Yulia_NS79,arief_kreen,1
Faqih7777745,kemalpalevi,1
ASamroji,kr1t1kp3d45_pro,1
TIIndonesia,TIIndonesia,2
JenderalTaik,__anomali__,1
ence_dwi,rffqi,1
Febree17_,konoha2022,1
LuNaEndelia,imam_ghifaryy,1
Jhn_____s,hariady__,1
OposisiCerdas,gito_729,1
Balieska1,MaliyaYana1,1
Jhn_____s,al_ilo,1
Herman03575306,achinagra,1
pramudo,pramudo,1
Askrlfess,PutriSalju_03,1
HariantoHari15,Stevaniehuangg,1
ASyahrochman,KompasTV,1
ASyahrochman,CNNIndonesia,1
4Y4NKZ,fendyarmo,1
CNNIndonesia,Maladi1Danis,1
samodner,samodner,1
detikcom,rickyrick1985,1
_amareguzel,_amareguzel,1
kumparan,kumparan,1
sukeeeyooo,ucupstyles,1
pius_sinaga,wong_ndeso579,1
bosniangiovanni,qalsrama,1
infinitys88,wanti_lee,1
jpnncom,jpnncom,1
Galois_Gen,MNW_MNW_MNW,1
tvOneNews,yulilie605,1
Neng_Anyar,Neng_Anyar,2
txtdrberseragam,xloveyouul,1
BedidinQ,Ernaku6,1
detikcom,luthfy_wp,1
HarisRuslyMoti,HarisRuslyMoti,1
blackwafferroll,catchmeupid,1
1febri,RamliRizal,1
BatuKepla,knpiharis,2
Semut_Ibrahim_,Stevaniehuangg,1
kumparan,udatauhid,1
hrdbacot,jackjackparrr,1
AndreyZhirley,cursedkidd,1
Binsaragih1,detikcom,1
Blubukb89,zoelfick,1
Yenithung1,tvOneNews,1
Rm_lndr4one4587,Wandystjk,1
alfamart,barackodin,1
cagubnyinyir2,marpaung913,1
rahabganendra,salsaaii,1
cagubnyinyir2,supari_yanto,1
IbnuSholh,Stevaniehuangg,1
Fraksi_Gerindra,Fraksi_Gerindra,1
_thinkplus,detikcom,1
Miduk17,Miduk17,3
gagitubens,na_DiemAjja,1
Faishalakbarrr,txtfrombrand,1
Tetty082376,adekdohyon,1
Faishalakbarrr,halleluhellyeah,1
Jinjit_jinjit,cah__ndeso77,1
Cintada16,MailRahmat,1
ListyoSigitP,Ummu_CantiQ,1
Stevaniehuangg,abdillah79791,1
AhyariIda,CNNIndonesia,1
4Y4NKZ,Kingdarius102,1
Adus_solihin,Stevaniehuangg,1
HajiTileee,detikcom,1
jogermeist,senopati_pm,1
__o000BlockL0c,__o000BlockL0c,2
desa_kaligondo,yahyanwari,1
Anazh4,alfamart,1
MBSasli,txtdrberseragam,1
GoyaJikko,sinagano2,1
GoyaJikko,IndonesiaFaried,1
hutauruk_alex,tvOneNews,1
geloraco,wisnuputro07,1
AbdullohBaihaqy,jogermeist,1
jose_asep,jose_asep,1
jogermeist,keuangannews_id,1
FirdausyMuh,Rizmaya__,1
apathoni,jogermeist,1
detikcom,rytsarkiy_pika,1
ASamroji,ZulkifliLubis69,1
aLy_Bima,omarmoyo963,1
geloraco,marpaung913,1
Ferdysambo1,musniumar,2
SugiKawuloAlit,lelakimusaja,1
KompasTV,KompasTV,1
Elfauzi66689349,geloraco,1
korantempo,korantempo,1
Fiayellowluv18,mikah0702,1
darmantompul,darmantompul,1
gogiism,marinealmira,1
Ferdysambo1,democrazymedia,1
Ferdysambo1,yaniarsim,1
Ferdysambo1,PepenKurniawan,1
Ferdysambo1,kangmalik45,1
irsanardiyan,txtfrombrand,1
Prasetyo9Hh,Roses94735777,1
PanahRaya,Prasetyo9Hh,1
CocotBajol,hellodeka,1
JCoitu,dyta0303,1
Ferdysambo1,tvOneNews,1
ketutdarmika10,ruhutsitompul,1
HWalterjr,democrazymedia,1
PramitaPangestu,bintangemon,1
